2024-06-12 16:53:49.594 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-12 16:53:49.595 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-12 16:55:17.257 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-12 16:55:17.257 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-12 16:56:54.414 | SUCCESS  | __main__:<module>:134 - 读取数据成功
2024-06-12 17:07:07.679 | SUCCESS  | __main__:<module>:138 - 生成索引成功
2024-06-12 17:07:07.683 | SUCCESS  | __main__:<module>:143 - 读取问题成功
2024-06-12 17:07:07.923 | SUCCESS  | __main__:<module>:152 - 检索成功，检索的长度103
2024-06-12 17:14:18.272 | SUCCESS  | __main__:<module>:156 - 生成答案成功，答案数量为102
2024-06-12 17:14:18.279 | SUCCESS  | __main__:<module>:159 - 文件成功写入test.jsonl
2024-06-12 18:32:33.685 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-12 18:32:33.686 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-12 18:34:10.502 | SUCCESS  | __main__:<module>:134 - 读取数据成功
2024-06-12 18:34:11.378 | SUCCESS  | __main__:<module>:138 - 生成索引成功
2024-06-12 18:34:11.380 | SUCCESS  | __main__:<module>:143 - 读取问题成功
2024-06-12 18:34:12.258 | SUCCESS  | __main__:<module>:154 - 检索成功，检索的长度1
2024-06-12 18:35:57.995 | SUCCESS  | __main__:<module>:158 - 生成答案成功，答案数量为1
2024-06-12 18:35:57.997 | SUCCESS  | __main__:<module>:161 - 文件成功写入test.jsonl
2024-06-12 20:40:39.512 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-12 20:40:39.512 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-12 20:42:15.168 | SUCCESS  | __main__:<module>:135 - 读取数据成功
2024-06-12 20:43:22.798 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-12 20:43:22.799 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-12 20:45:01.043 | SUCCESS  | __main__:<module>:138 - 读取数据成功
2024-06-12 20:51:54.790 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-12 20:51:54.790 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-12 20:53:33.202 | SUCCESS  | __main__:<module>:141 - 读取数据成功
2024-06-12 21:00:07.273 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-12 21:00:07.274 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-12 21:01:44.946 | SUCCESS  | __main__:<module>:142 - 读取数据成功
2024-06-12 21:05:46.494 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-12 21:05:46.494 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-12 21:05:46.579 | SUCCESS  | __main__:<module>:143 - 读取数据成功
2024-06-12 21:06:24.767 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
2024-06-12 21:06:24.767 | SUCCESS  | __main__:<module>:130 - 智谱读取配置成功
2024-06-12 21:06:30.246 | SUCCESS  | __main__:<module>:143 - 读取数据成功
2024-06-12 21:07:31.737 | SUCCESS  | __main__:<module>:125 - 读取配置信息成功
